,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
3667,-0.0032,9520.0,36.97,117.98,7,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,555.2,474.612,80.588,23.2,30.50853,14.79686
426,0.0684,11700.0,39.08,-76.65,20,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,652.3,545.786,106.514,21.15,29.26216,8.45563
1693,-0.0524,8210.0,44.22,-73.26,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,623.5,452.15,171.35,14.25714,27.46874,-4.82075
846,-0.4011,5697.0,-27.8,-50.32,3,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,771.1,605.914,165.186,20.28333,25.23432,11.56289
4006,-0.6168,5741.0,34.3,-86.02,19,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,619.4,646.371,-26.971,23.25,32.34329,8.52078
3397,-0.1496,15048.0,-28.92,29.55,21,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,572.9,644.565,-71.665,7.91429,18.50414,1.49847
1451,-0.0197,6080.0,38.0,-84.5,11,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,440.8,546.337,-105.537,21.26667,31.14711,6.27729
3156,-0.1139,15800.0,32.53,-83.85,3,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,468.0,659.161,-191.161,24.13333,34.95042,12.99181
4009,0.2398,9394.0,34.3,-86.02,22,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,799.6,609.677,189.923,22.01667,31.09053,10.40166
478,-0.0846,7283.0,38.19,-84.87,2,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,758.2,542.156,216.044,21.0,32.8958,7.43173
476,0.1213,8102.0,38.19,-84.87,3,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,684.5,533.719,150.781,20.56667,29.89469,7.46473
1407,-0.2603,10220.0,44.07,-93.52,10,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,629.8,475.382,154.418,17.46667,28.3748,1.98725
637,0.022,9100.0,45.5,-73.58,9,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,516.0,477.15,38.85,16.68333,25.61568,4.57945
2627,-0.3939,495.0,-19.58,31.23,11,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,440.5,651.133,-210.633,22.53333,28.11711,9.32528
1934,-0.0022,9270.0,35.65,107.85,2,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,331.2,430.361,-99.161,16.76,28.86081,3.28446
3943,0.0836,8010.0,36.38,-79.69,1,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,697.8,552.795,145.005,19.96667,29.51864,6.93195
4003,-0.2537,6751.0,34.3,-86.02,18,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,894.4,595.343,299.057,20.88333,32.00902,6.33477
2065,0.0294,6460.0,43.18,-89.92,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,702.1,467.075,235.025,17.26667,26.88171,2.43886
3410,-0.0989,5852.0,-28.92,29.55,26,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,447.3,690.027,-242.727,9.14286,23.2186,1.69684
1168,-0.1765,13964.0,40.65,-104.98,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,253.0,566.023,-313.023,14.88571,29.96927,-3.21418
789,0.0212,7168.0,41.12,-96.5,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,1027.5,504.866,522.634,18.36667,29.26888,4.1768
1426,0.0323,3100.0,31.38,72.03,1,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,499.7,394.544,105.156,31.78,40.21164,21.4263
1705,-0.6131,1680.0,-0.75,37.75,2,1,1,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,630.9,774.199,-143.299,23.7,32.22831,17.98771
4000,-0.0849,7513.0,34.3,-86.02,18,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,894.4,595.343,299.057,20.88333,32.00902,6.33477
753,-0.0961,9780.0,42.22,-82.73,10,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,502.5,510.423,-7.923,18.16667,25.69895,6.81734
3642,-0.1454,10520.0,45.2,9.68,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,256.1,483.236,-227.136,15.73333,24.67301,5.33668
2519,-0.4762,8400.0,-2.35,30.25,3,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,342.0,526.376,-184.376,24.825,26.99082,16.62827
1459,0.6702,1880.0,38.0,-84.5,13,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,520.8,526.162,-5.362,20.41667,30.35739,8.60403
4352,0.1533,4644.0,35.32,106.07,6,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,265.3,384.166,-118.866,13.62,23.51321,-1.16091
513,-0.0436,10780.0,42.75,-76.58,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,554.4,507.682,46.718,16.08571,28.81189,-0.16429
1636,-0.0429,7000.0,43.0,-92.5,7,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,760.3,503.469,256.831,18.06667,31.50872,4.28239
1174,-0.3492,10986.0,40.65,-104.98,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392
1747,0.0099,2730.0,-0.52,37.27,2,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,659.4,732.25,-72.85,20.875,31.60278,15.39401
2744,-0.0636,9270.0,51.03,17.35,1,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,432.8,396.822,35.978,14.08571,25.00612,4.77815
672,0.1792,10099.0,37.87,-84.25,3,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,405.9,519.175,-113.275,20.13333,29.90718,8.49378
2598,0.5999,4704.0,37.99,-100.82,4,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,390.1,599.818,-209.718,21.21667,33.81494,5.66872
1921,-0.182,8513.0,-29.53,30.28,9,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,749.6,668.824,80.776,18.9625,26.07631,4.34382
2544,0.3189,3415.0,-14.97,34.73,3,0,0,2,1435.0,976.0,1435.0,976.0,0.0,0.0,814.1000233,659.9085916,154.191,26.76666641,25.03714285,15.51644405
2801,0.3623,13800.0,44.57,-123.24,4,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,405.1,511.186,-106.086,15.11429,27.69235,5.07457
482,-0.0539,9905.0,44.45,26.52,5,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,409.0,470.83,-61.83,18.86,31.54318,7.40149
1957,-0.1568,6639.0,44.73,-93.12,4,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,646.2,497.767,148.433,17.16667,30.8548,4.05981
2805,0.4815,8100.0,44.57,-123.24,5,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,405.1,511.186,-106.086,15.11429,27.69235,5.07457
791,0.0067,7035.0,41.12,-96.5,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,1027.5,504.866,522.634,18.36667,29.26888,4.1768
1437,0.1512,8600.0,31.38,72.03,2,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,202.1,384.957,-182.857,31.72,41.81672,19.74682
643,0.5,800.0,45.5,-73.58,12,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,454.6,500.97,-46.37,17.03333,28.03758,4.98223
4223,0.2364,9010.0,23.9,91.32,1,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,1319.4,385.2,934.2,28.525,32.53722,25.76134
3404,-0.2666,8682.0,-28.92,29.55,24,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,421.0,657.249,-236.249,8.5,21.06027,2.35728
4349,0.1488,3932.0,35.32,106.07,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,288.3,360.971,-72.671,13.16,23.88756,-1.61313
1170,-0.2078,13606.0,40.65,-104.98,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,253.0,566.023,-313.023,14.88571,29.96927,-3.21418
3854,-0.2829,9580.0,44.75,-93.07,21,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,751.0,496.244,254.756,17.81667,30.22943,6.30626
1515,0.0167,6000.0,25.58,85.4,5,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,638.7,396.206,242.494,30.025,35.45598,26.29375
4056,0.0036,12092.0,40.47,-86.98,16,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,719.1,490.112,228.988,18.5,28.35973,5.22823
537,-0.0476,10500.0,41.48,-84.15,47,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,460.5,525.209,-64.709,19.91667,31.36946,6.17142
4132,-0.1345,8550.0,40.8,-96.67,13,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,659.5,567.388,92.112,20.88333,30.79197,7.39909
3536,0.09,7812.0,35.55,110.13,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,258.9,412.508,-153.608,18.14,28.70729,-1.09092
3959,-0.0921,9244.0,35.33,110.1,8,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,328.5,436.997,-108.497,18.64,29.40154,3.51329
3657,-0.1464,22740.0,45.2,9.68,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,256.1,483.236,-227.136,15.73333,24.67301,5.33668
2624,-0.4798,496.0,-19.58,31.23,10,1,1,2,1435.0,1435.0,1435.0,1435.0,0.0,0.0,525.5,609.681,-84.181,22.38333,26.21487,8.72521
876,0.2702,4593.0,19.52,-98.83,4,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,989.4,684.772,304.628,13.0,24.19251,6.46757
796,0.373,2756.0,41.12,-96.5,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,509.6,541.266,-31.666,19.35,33.61996,4.84391
2798,-0.0164,9997.0,42.03,-93.62,9,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,429.0,541.629,-112.629,18.58333,29.48987,4.37156
1611,0.1037,1794.0,-17.82,31.57,2,1,1,2,1435.0,1435.0,1435.0,1435.0,0.0,0.0,322.8,654.113,-331.313,22.2,27.41816,7.9551
576,-0.0845,14200.0,40.42,-83.25,48,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,498.6,472.837,25.763,18.16667,27.70464,4.34373
2609,0.4318,4910.0,37.99,-100.82,7,0,0,2,1435.0,976.0,1435.0,976.0,0.0,0.0,377.1,553.211,-176.111,19.56667,34.49125,2.97303
1831,-0.15,8000.0,7.5,3.9,1,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,781.2,457.77,323.43,27.38,33.76276,22.5147
757,0.0259,8120.0,42.22,-82.73,11,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,420.1,556.534,-136.434,19.36667,25.53342,10.18117
1702,-0.414,1570.0,-0.75,37.75,2,1,1,1,976.0,976.0,976.0,976.0,0.0,0.0,630.9,774.199,-143.299,23.7,32.22831,17.98771
3650,-0.1335,16410.0,45.2,9.68,1,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,134.9,488.709,-353.809,15.9,24.49918,5.16301
3345,-0.0952,8698.0,29.07,77.77,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,801.7,491.78,309.92,29.14,34.24281,20.35569
4276,0.0223,9050.0,35.67,107.87,2,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,331.2,430.361,-99.161,16.76,28.86081,3.28446
1513,0.2807,5700.0,25.58,85.4,3,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,389.6,432.875,-43.275,31.1,38.46637,26.5978
2489,-0.04,2500.0,-2.35,30.25,2,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,558.3,512.182,46.118,24.425,26.6788,17.19974
2482,-0.0556,1800.0,8.18,38.85,1,1,1,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,409.5,807.755,-398.255,19.6125,28.52661,11.30607
4063,-0.4383,13466.0,40.47,-86.98,20,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,414.8,525.415,-110.615,18.63333,29.7984,7.28592
2162,-0.2821,3900.0,11.13,8.25,3,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,677.9,381.057,296.843,25.825,34.06507,20.07154
829,-0.167,8740.0,42.02,-93.75,3,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,721.7,470.185,251.516,18.61667,29.86553,6.86344
1172,-0.1399,6304.0,40.65,-104.98,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392
758,-0.0105,8570.0,42.22,-82.73,11,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,420.1,556.534,-136.434,19.36667,25.53342,10.18117
575,0.3704,8100.0,41.48,-84.15,50,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,478.9,503.78,-24.88,19.01667,27.76024,5.64082
2426,0.1025,10044.0,43.3,-89.35,11,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,554.3,479.931,74.369,17.71667,28.13424,5.21823
2448,0.1011,6669.0,25.62,85.22,6,0,0,0,1163.0,1163.0,1163.0,1163.0,0.0,0.0,398.7,440.559,-41.859,30.45,38.5614,25.08008
1576,-0.1791,11000.0,45.61,17.86,5,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,489.5,512.061,-22.561,17.58571,29.77124,5.90084
1452,-0.0542,3320.0,38.0,-84.5,11,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,440.8,546.337,-105.537,21.26667,31.14711,6.27729
4329,0.0096,8503.0,35.32,106.07,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,209.7000065,372.7283595,-163.028,14.08000002,24.99609172,-0.377882865
2441,-0.0108,2878.0,-17.72,31.65,3,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,656.6,634.372,22.228,21.71667,25.62066,8.03995
763,-0.1481,10800.0,42.22,-82.73,12,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,425.9,510.382,-84.482,18.18333,27.80017,7.15456
2963,0.0,9800.0,25.0,88.0,2,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,1338.6,381.209,957.391,29.3,34.18875,26.68599
1745,-0.1124,5054.0,-0.52,37.27,2,1,1,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,659.4,732.25,-72.85,20.875,31.60278,15.39401
1050,0.25,3200.0,31.53,75.91,6,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,505.1,542.553,-37.453,30.28,38.09358,19.64371
2159,-0.15,4000.0,11.13,8.25,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,770.2,383.654,386.546,25.25,31.94111,20.4653
1142,-0.105,2676.0,34.02,71.47,2,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,313.8,493.206,-179.406,21.62,35.89181,15.09477
3867,-0.2276,3690.0,19.52,-98.83,14,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,1222.7,707.708,514.992,12.51429,22.15133,7.95546
1838,0.1667,2400.0,7.5,3.9,4,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,677.8,498.142,179.658,28.12,34.2233,23.29779
1932,-0.1084,7470.0,35.65,107.85,4,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,213.1,415.56,-202.46,17.24,28.30306,3.01697
1836,0.5238,2100.0,7.5,3.9,4,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,677.8,498.142,179.658,28.12,34.2233,23.29779
325,0.0856,10222.15806,40.52,-98.06,15,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,546.3,563.897,-17.597,19.8,31.05623,4.28486
1435,0.2105,11400.0,31.38,72.03,3,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,489.9,406.5,83.4,30.62,38.91278,19.24657
2071,-0.3135,5200.0,43.18,-89.92,6,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,583.7,489.624,94.076,17.08333,27.4853,5.79155
2505,-0.0526,3800.0,-2.35,30.25,2,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,558.3,512.182,46.118,24.425,26.6788,17.19974
3853,-0.141,13900.0,44.75,-93.07,21,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,751.0,496.244,254.756,17.81667,30.22943,6.30626
3911,-0.1361,14250.0,44.87,20.33,27,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,511.0,513.454,-2.454,17.84286,27.75401,8.77322
2535,0.3828,4310.0,-11.9,33.59,3,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,973.5,728.527,244.973,24.8,28.01236,13.10176
1132,-0.0165,13330.0,38.08,-86.15,8,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,617.9,528.687,89.213,20.26667,30.25089,9.41076
3992,0.0726,6117.0,34.3,-86.02,16,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,632.2,642.644,-10.444,22.4,33.63775,8.52692
3291,-0.093,7749.0,37.9,113.17,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,265.9,478.293,-212.393,21.14,29.33641,10.44471
530,0.0155,12900.0,39.8,-90.82,9,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,511.5,544.656,-33.156,20.68333,29.61581,6.62734
745,0.0106,8520.0,42.22,-82.73,5,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,632.8,483.756,149.044,18.66667,24.13222,10.73315
4093,-0.2546,13831.0,45.47,-73.75,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,572.1,492.007,80.093,15.98333,27.16554,1.73544
798,0.1375,3497.0,41.12,-96.5,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,509.6,541.266,-31.666,19.35,33.61996,4.84391
322,0.0361,11164.70258,40.52,-98.06,12,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,492.5,572.699,-80.199,19.75,33.60631,1.71847
4092,-0.1957,14172.0,45.47,-73.75,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,572.1,492.007,80.093,15.98333,27.16554,1.73544
2530,-0.2722,2796.0,-11.9,33.59,2,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,958.4,738.978,219.422,24.01429,27.28121,11.99453
161,-0.2741,19700.0,34.28,-85.97,3,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,834.0,629.7,204.3,22.76667,32.11294,11.09104
3972,-0.1622,7498.0,37.5,112.5,15,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,434.8,455.791,-20.991,23.38,29.05709,10.78784
1402,-0.1038,7420.0,44.07,-93.52,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,557.9,498.038,59.862,17.15,28.47067,5.607
3012,-0.1127,7100.0,45.63,-72.9,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,695.2,449.951,245.249,15.4,26.30599,2.38646
1474,-0.1717,7340.0,38.0,-84.5,18,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,367.8,567.965,-200.165,21.51667,31.46573,3.70733
521,-0.0486,14400.0,40.92,-90.72,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,789.9000092,473.6726913,316.227,18.88333337,27.56902466,5.056931526
860,0.0585,11457.0,39.55,100.75,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,-11.0,249.642,-260.642,13.62,27.77941,-5.48222
2404,-0.0978,12370.0,40.65,-104.98,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,267.2,553.256,-286.056,13.92857,31.38396,-4.81392
879,-0.1021,4837.0,19.52,-98.83,4,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,989.4,684.772,304.628,13.0,24.19251,6.46757
321,-0.0158,12846.05618,40.52,-98.06,9,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,413.6,572.305,-158.705,19.5,33.12348,5.74753
4008,0.2635,10409.0,34.3,-86.02,22,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,799.6,609.677,189.923,22.01667,31.09053,10.40166
871,-0.0345,4313.0,19.52,-98.83,3,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,911.3,680.005,231.295,13.5,23.79651,5.48964
4090,-0.0441,10624.0,45.47,-73.75,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,454.6,500.97,-46.37,17.03333,28.03758,4.98223
3151,-0.0819,17100.0,32.53,-83.85,2,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,847.1,683.766,163.334,24.78333,34.86976,10.59911
2412,-0.3902,6920.0,40.65,-104.98,6,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,445.4,552.736,-107.336,13.85714,27.27658,-4.86435
4332,-0.0042,6599.0,35.32,106.07,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,244.9999962,366.5145901,-121.515,13.32000003,24.1535802,-4.514760663
3969,-0.1263,5290.0,37.5,112.5,12,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,381.7,441.69,-59.99,22.26,28.69421,10.67545
3002,0.0933,3505.0,34.68,-86.87,10,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,695.5,605.248,90.252,22.65,32.97991,9.33402
774,0.0269,10297.0,32.32,-86.9,5,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,647.0,642.709,4.291,22.95,32.88844,11.05887
1418,0.08,2500.0,31.38,72.03,2,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,202.1,384.957,-182.857,31.72,41.81672,19.74682
2724,-0.1035,11300.0,43.02,-82.12,1,1,1,3,1435.0,1435.0,1435.0,1435.0,0.0,0.0,434.1,508.529,-74.429,17.16667,26.19134,6.65006
1607,-0.0358,4637.0,-17.82,31.57,1,1,1,2,1435.0,1435.0,1435.0,1435.0,0.0,0.0,755.6,629.893,125.707,21.53333,25.16097,8.72194
1164,0.0749,5326.0,40.65,-104.98,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776
3262,-0.1511,4830.0,28.67,77.2,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,538.8,469.459,69.341,29.4,38.09192,19.49525
4123,-0.0997,10230.0,40.8,-96.67,9,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,616.1,573.728,42.372,19.55,28.75747,5.77022
1662,-0.0818,11000.0,42.02,-93.75,25,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,530.2,543.476,-13.276,18.98333,31.00905,3.25557
1691,0.0178,9000.0,44.22,-73.26,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,445.5,435.364,10.136,13.78571,26.01145,-3.7539
3985,0.066,4241.0,34.3,-86.02,14,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,542.6,642.077,-99.477,22.13333,35.02888,6.68193
3298,-0.0854,8200.0,-15.59,-47.7,1,1,1,5,1435.0,976.0,1435.0,976.0,0.0,0.0,1089.7,710.09,379.61,25.48333,29.24391,18.14437
220,0.0208,6250.0,42.87,-80.52,2,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,264.3,585.537,-321.237,17.61667,26.51865,6.44425
4131,-0.0663,9960.0,40.8,-96.67,13,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,659.5,567.388,92.112,20.88333,30.79197,7.39909
1756,-0.1429,7700.0,39.03,-85.52,15,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,497.0,486.454,10.546,19.85,29.66522,5.8443
3296,0.0789,7600.0,-15.59,-47.7,1,1,1,5,1435.0,976.0,1435.0,976.0,0.0,0.0,1089.7,710.09,379.61,25.48333,29.24391,18.14437
751,-0.0453,7016.0,42.22,-82.73,4,1,1,1,1435.0,976.0,1435.0,976.0,0.0,0.0,246.2,535.153,-288.953,18.6,26.97492,7.50703
3864,0.1067,3280.0,19.52,-98.83,19,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,825.6,683.263,142.337,13.01429,22.67812,6.4591
3289,-0.2452,6138.0,37.9,113.17,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,385.5,463.2,-77.7,21.34,29.89759,11.69641
1577,-0.4614,17080.0,45.61,17.86,5,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,489.5,512.061,-22.561,17.58571,29.77124,5.90084
2443,-0.2078,2878.0,-17.72,31.65,3,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,656.6,634.372,22.228,21.71667,25.62066,8.03995
2067,-0.1044,1820.0,43.18,-89.92,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,625.2,486.026,139.174,18.05,29.05464,3.61372
918,-0.2836,4380.0,-23.18,-51.18,3,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,1574.3,706.494,867.806,25.96667,31.36874,16.4265
1738,0.1322,2459.0,-0.52,37.27,1,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,565.7,780.391,-214.691,21.325,30.64233,15.96019
3321,0.0943,10600.0,42.02,-93.75,13,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,347.9,535.868,-187.968,19.81667,28.72965,7.02579
2502,-0.0732,8200.0,8.18,38.85,1,1,1,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,409.5,807.755,-398.255,19.6125,28.52661,11.30607
883,0.2991,983.0,19.52,-98.83,5,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,1068.1,661.247,406.853,13.44286,24.50043,6.99138
3264,0.05,5000.0,28.67,77.2,1,1,1,0,976.0,976.0,976.0,976.0,0.0,0.0,843.5,449.03,394.47,29.74,40.53674,20.90237
2593,0.0686,6397.0,37.99,-100.82,3,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,364.0,572.642,-208.642,19.46667,31.78592,3.43443
2604,0.2179,4892.0,37.99,-100.82,4,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,390.1,599.818,-209.718,21.21667,33.81494,5.66872
919,-0.3223,7666.0,-23.18,-51.18,6,0,0,3,1435.0,976.0,1435.0,976.0,0.0,0.0,1127.4,705.97,421.43,26.3,30.80348,15.64812
3655,-0.017,8830.0,45.2,9.68,2,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,256.1,483.236,-227.136,15.73333,24.67301,5.33668
1355,0.0513,5460.0,34.3,-79.73,5,0,0,0,1435.0,976.0,1435.0,976.0,0.0,0.0,363.3,625.169,-261.869,23.78333,32.67227,10.46222
539,0.197,6600.0,41.48,-84.15,49,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,334.7,540.813,-206.113,19.9,32.64844,5.4728
1933,-0.1046,3920.0,35.65,107.85,6,0,0,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,337.8,450.882,-113.082,17.22,28.89948,2.38381
1648,0.0227,8800.0,42.02,-93.75,15,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,546.4,514.306,32.094,18.8,30.37499,5.68792
