,labels,labels,pyFume,pyFume,test_custom,test_custom,test_custom,train_custom,train_custom,train_custom
,n_sets,statistic_measures,train_pyFume,test_pyFume,q_0.2,q_0.4,q_0.6,q_0.2,q_0.4,q_0.6
0,2,Min,0.18458318486315575,0.22089047676947288,0.22084605613176883,0.22083544052518528,0.22084605613176883,0.20876524495719914,0.20884161700457307,0.20876524495719914
1,2,Max,0.2361912628753246,0.22316055376882776,0.22151382679452283,0.22084605613176883,0.221091508972701,0.2088805079352519,0.20884847289464128,0.20884161700457307
2,2,Std,0.011696586481096597,0.0005238315051381982,0.0002026504580612125,3.7905297321005164e-06,5.416226579591933e-05,2.1324593559630216e-05,2.4480424118052703e-06,1.6816509677409475e-05
3,2,Mean,0.21129382147248904,0.22160696579305877,0.22092780040324178,0.2208444637907813,0.2208610233369664,0.20884090118229032,0.20884264538808334,0.2088370120892224
4,3,Min,0.1890137146457493,0.2203470964053316,0.2199038155605509,0.2199038155605509,0.2199038155605509,0.20752960204280402,0.20752960204280402,0.20752960204280402
5,3,Max,0.22809894189933413,0.2220639108254264,0.21996986460777154,0.21996986460777154,0.21996986460777154,0.20764763315321005,0.20764763315321005,0.20764763315321005
6,3,Std,0.010406879777428955,0.00045303575313708575,3.0267475846824397e-05,3.302452361031438e-05,3.235729273750639e-05,5.4088649779535036e-05,5.9015555203018044e-05,5.7823198853778847e-05
7,3,Mean,0.20649102119303198,0.22120405761341208,0.21992363027471712,0.21993684008416126,0.21993023517943922,0.20756501137592584,0.20758861759800706,0.20757681448696644
8,4,Min,0.19159695489689488,0.21767812629155348,0.2183793229905554,0.2183793229905554,0.2183793229905554,0.2063543471009045,0.2063543471009045,0.2063543471009045
9,4,Max,0.22993570644369013,0.2211839258637107,0.2185244456221815,0.2185244456221815,0.2185244456221815,0.2065190267705477,0.2065190267705477,0.2065190267705477
10,4,Std,0.009929439291300654,0.0007917821766846494,3.162874428394467e-05,4.3536789487833016e-05,5.8049052650444015e-05,3.589110190151921e-05,4.940390089296087e-05,6.587186785728116e-05
11,4,Mean,0.21211589177050905,0.22004405837633026,0.21851718949060017,0.21850993335901886,0.2184954210958563,0.20651079278706552,0.20650255880358337,0.20648609083661906
12,5,Min,0.1891645079324473,0.21667858515845537,0.21589188869759243,0.21589188869759243,0.216628959492009,0.2047860878501762,0.2046111163950927,0.20476907455535945
13,5,Max,0.23115470735003363,0.22110070394698558,0.2201375428152653,0.21993678863970395,0.2200330969272541,0.2062252010386449,0.2057183270750359,0.2062252010386449
14,5,Std,0.013081717545444667,0.0008927834961113205,0.001074727876825368,0.0011363781349806419,0.0009571814684925018,0.00044756419806611956,0.0003887736672152392,0.0004184507029269949
15,5,Mean,0.21071137162211873,0.2187251853827039,0.2193403909582224,0.21889558080852045,0.21918058505088003,0.20571916781419586,0.2054069242346602,0.20565619447771555
16,6,Min,0.18607701783950134,0.21640758078637287,0.21766311700338553,0.21766311700338553,0.21761031664767447,0.205026528430915,0.20505058191298225,0.20505058191298225
17,6,Max,0.21814928251110208,0.22103541890646175,0.21987853624384962,0.2212438441688081,0.22078349005783443,0.20587019506230267,0.2056042418248178,0.20606142737160105
18,6,Std,0.00835458533667025,0.0009758777879635617,0.0008265900905408307,0.0012461186554970974,0.0010607192646742898,0.00019466640134091885,0.00017076602355544266,0.00023262670168759772
19,6,Mean,0.20698527563604588,0.218752680168036,0.21875104623417402,0.21875469555515398,0.21932271638574408,0.20522590783540964,0.20522562488799653,0.20527851673128322
20,7,Min,0.1906479008260118,0.21529549695971703,0.2204350126683561,0.2198410106413087,0.21864440181198666,0.2038998792268199,0.20393887541159667,0.2035397936281934
21,7,Max,0.23288324427905974,0.22650141645794705,0.2229080540555434,0.2233517383602817,0.22294357411699542,0.2045806283268968,0.2047042918138056,0.2045806283268968
22,7,Std,0.012335330951067792,0.0026325601476814356,0.0008561276669651742,0.000978967360458818,0.001161993346104559,0.00019632239345638924,0.00018348279741840627,0.00024242247358146433
23,7,Mean,0.20887707120963342,0.2188146900967131,0.22160788419679908,0.22128074365861158,0.22150255964348528,0.2043130425600359,0.20425283326977964,0.20424819895980129
24,8,Min,0.18297432156970522,0.21485686084521727,0.2219090261656739,0.22187951755725058,0.22148359459347375,0.2034149351798477,0.2034149351798477,0.2034149351798477
25,8,Max,0.22262315806181415,0.22176070176785223,0.22248217022559494,0.22248217022559494,0.22248217022559494,0.20444737628852805,0.20444737628852805,0.20444737628852805
26,8,Std,0.010428407430478672,0.0019170106090952458,0.00015338911164573278,0.00018211681133958052,0.000193898666489998,0.00043271525388859593,0.00041306805114216293,0.0004293500451582526
27,8,Mean,0.21014531392106361,0.21708347327733962,0.22203428840556255,0.22208293072303925,0.22204794474974202,0.20414819092345265,0.20408310039794877,0.2037774249326727
28,9,Min,0.17298362188629146,0.2149039225831643,0.22030293691437752,0.22028077705473104,0.22041230141513443,0.20158917977151128,0.20221112176449996,0.2024373200727669
29,9,Max,0.27207394486899117,0.22989443095393977,0.2241519444133816,0.22394232037766354,0.22437046061526716,0.20422908645431256,0.20387972995965667,0.2039064810852008
30,9,Std,0.019579833218227302,0.004706821840888843,0.001022927989204583,0.0010163695593557146,0.000940225741893539,0.0006640076255254741,0.0003979420271922243,0.0003520722901387432
31,9,Mean,0.21573060310679204,0.21986105199894887,0.2214529295561331,0.22191898199455812,0.22166601742135095,0.2030069238679349,0.20308341512613515,0.20292348190172604
32,10,Min,0.1876815515337158,0.21245334934027651,0.22115374687172532,0.22093756827110386,0.2208775596671293,0.20217347102046707,0.2017646174782621,0.20248759724169013
