,Run1,Run1,Run1,Run2,Run2,Run2,Run3,Run3,Run3,Run4,Run4,Run4,Run5,Run5,Run5
,gen,train,test,gen,train,test,gen,train,test,gen,train,test,gen,train,test
0,1,0.20752960204280402,0.2199038155605509,1,0.20752960204280402,0.2199038155605509,1,0.20752960204280402,0.2199038155605509,1,0.20752960204280402,0.2199038155605509,1,0.20752960204280402,0.2199038155605509
1,2,0.2075107890487996,0.2199038155605509,2,0.2073864910806082,0.2196334131147717,2,0.20752397461365688,0.2198507762405846,2,0.2073747469943492,0.2199753237502189,2,0.20750970959854392,0.22010157381242723
2,3,0.20749089480091132,0.22010157381242723,3,0.20706319683147642,0.2196169050382104,3,0.2075040816299215,0.22004858215904544,3,0.2072697896250901,0.2199753237502189,3,0.2070432595756215,0.2198149214115841
3,4,0.20737157287915614,0.2199038155605509,4,0.2069580814617528,0.2196169050382104,4,0.20748526632194378,0.22004858215904544,4,0.2071115622208467,0.2199753237502189,4,0.20703461459122,0.2198149214115841
4,5,0.20715425579846064,0.22011309828383002,5,0.2069573932205141,0.21961689300994974,5,0.20732720336467786,0.22004858215904544,5,0.2071113070509586,0.21997606487750704,5,0.20698972506409516,0.22008874654276175
5,6,0.20715425579846064,0.22011309828383002,6,0.2069552102255757,0.2196169262239438,6,0.2072980002878536,0.2199753237502189,6,0.20711038472747847,0.21997890331504408,6,0.20698902621514967,0.22008828475125838
6,7,0.20715425579846064,0.22011309828383002,7,0.2069479814422349,0.21899162106526862,7,0.20722222107832583,0.2200486012117229,7,0.20696698389029763,0.21970859328220343,7,0.2069889637801578,0.22008828475125838
7,8,0.20704441184264347,0.22078140774018618,8,0.20682152698648643,0.21913177568977785,8,0.20637360305340396,0.218799820146699,8,0.20695833571973743,0.21970859328220343,8,0.20698878376180563,0.2200881664956657
8,9,0.20704393866782744,0.22078664290855965,9,0.20649225864038556,0.2194089312628781,9,0.20635468466902987,0.218799820146699,9,0.20693947079156827,0.21970859328220343,9,0.20698876566525856,0.2200881664956657
9,10,0.20704393866782744,0.22078664290855965,10,0.20649225864038556,0.2194089312628781,10,0.20635408850335957,0.2187982718063143,10,0.2069381017435358,0.2197133762573708,10,0.2069887184073653,0.22008858776972862
10,11,0.2070228762285144,0.22085754323579218,11,0.2063334349850708,0.2194089312628781,11,0.20635406607007858,0.21879825228815725,11,0.20693070926562473,0.21974554656220133,11,0.20697574073289876,0.21986425903396498
11,12,0.20695464771553831,0.22085754323579218,12,0.20633292287007773,0.21940947246626175,12,0.2063536378706358,0.21879842487475484,12,0.2066786885500679,0.22007160925236868,12,0.20696709292824536,0.21986425903396498
12,13,0.2067649195266118,0.21969368026275518,13,0.2063318770049473,0.21940159395557227,13,0.20635345152704113,0.21879787633639738,13,0.20665706278095475,0.21974554656220133,13,0.20664677888691946,0.21986425903396498
13,14,0.2067562629041333,0.21969368026275518,14,0.2063236601138869,0.21940159395557227,14,0.2061942075287164,0.2187980791487501,14,0.20663708633950223,0.2199434471188882,14,0.20664612833572826,0.21987078507427057
14,15,0.20668794638105742,0.21969368026275518,15,0.2063236601138869,0.21940159395557227,15,0.20619200230130366,0.21879746642141523,15,0.2066357557407644,0.21997059229217933,15,0.20664611869458235,0.21987078507427057
15,16,0.20668774235120832,0.21969503533028112,16,0.20632152072511684,0.2194040073207201,16,0.2061836366776215,0.21876657524996476,16,0.20663532846324684,0.22008362859916694,16,0.20664611869458235,0.21987078507427057
16,17,0.20668774235120832,0.21969503533028112,17,0.20613072051621356,0.2194040073207201,17,0.2061834444337597,0.21877072638209022,17,0.20654327713959048,0.22105194851430246,17,0.2066433190677283,0.21987078507427057
