,Run1,Run1,Run1
,gen,train,test
0,1,0.20752960204280402,0.2199038155605509
1,2,0.20752960204280402,0.2199038155605509
2,3,0.2074247230305572,0.2199038155605509
3,4,0.2074247230305572,0.2199038155605509
4,5,0.20713681757717076,0.2205602732376988
5,6,0.20713623986851334,0.2205554460966536
6,7,0.20713589011119196,0.22055227639951
7,8,0.2070305289365145,0.22055224002771492
8,9,0.2070305289365145,0.22055224002771492
9,10,0.20702995124631698,0.2205532457114816
